ID;species;type;target
Q840G7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87UE5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87V79;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87W07;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87W42;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87W46;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87W48;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87WF4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87WF6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87WF7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87WF8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87WG2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87X57;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87XS5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87ZX9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q87ZY0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q881L7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q882F0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q886L1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q887B7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q887C9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q888W0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q888W3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q888Y1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q888Y7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q889A9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88A09;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88A90;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88AB8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88BF6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88BP7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88BP8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q88BQ2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RNY8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RP03;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RP09;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8RP13;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q8VPK4;Pseudomonas fluorescens;TypeIII_controlToxin;Non-Vertebrate
Q9F0B1;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q9F0H3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9F3T4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9F3T5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9JP32;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9K2L5;Pseudomonas savastanoi;TypeIII_controlToxin;Non-Vertebrate
Q9L6W3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
Q9L6W4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S3MPF6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S3MY93;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S3NG26;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S3NG30;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JK29;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6SR13;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6SWN6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6SWQ6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JMP9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6T863;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JP60;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6TTJ9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6TW99;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6TWG5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6TWP0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JKR5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JL30;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6U3U1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6U6V3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JKS4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JMC6;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JUW2;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6V7U9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6VA78;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6VCW1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K2Q9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6VK55;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JUY3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K6U3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JUP1;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JUZ9;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JXQ0;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6W322;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656JXF7;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6WC57;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
S6WD38;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K4D4;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K8M8;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K4E5;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K491;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
A0A656K4J3;Pseudomonas syringae;TypeIII_controlToxin;Non-Vertebrate
NP_642922.1;Xanthomonas axonopodis;TypeIII_controlToxin;Non-Vertebrate
ZP_06486078.1;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
ZP_06489150.1;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
AAP34334.1;Xanthomonas citri;TypeIII_controlToxin;Non-Vertebrate
AAQ60244.1;Chromobacterium violaceum;TypeIII_controlToxin;Non-Vertebrate
ABG23671.1;Xanthomonas oryzae;TypeIII_controlToxin;Non-Vertebrate
P14727;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
D4T148;Xanthomonas citri;TypeIII_controlToxin;Non-Vertebrate
D4T570;Xanthomonas citri;TypeIII_controlToxin;Non-Vertebrate
D4I1J6;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
G7TIR4;Xanthomonas oryzae;TypeIII_controlToxin;Non-Vertebrate
G9L9K6;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
H2BNU5;Xanthomonas arboricola;TypeIII_controlToxin;Non-Vertebrate
H2BNU9;Xanthomonas arboricola;TypeIII_controlToxin;Non-Vertebrate
H2BNV7;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
H2EMV1;Xanthomonas citri;TypeIII_controlToxin;Non-Vertebrate
H6UWS2;Xanthomonas oryzae;TypeIII_controlToxin;Non-Vertebrate
Q07061;Xanthomonas vesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q156B7;Xanthomonas oryzae;TypeIII_controlToxin;Non-Vertebrate
Q3BM44;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BRD8;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BRE0;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BSU7;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BTM6;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BW96;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BWS7;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BY51;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BY60;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BYG1;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BYJ5;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3BYL8;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q3C000;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q5QA86;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q5QA88;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q5QA89;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q5QA92;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q5RJF5;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q6IV70;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q6TQF0;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q6WEG4;Pectobacterium carotovorum;TypeIII_controlToxin;Non-Vertebrate
Q83XF9;Xanthomonas campestris;TypeIII_controlToxin;Non-Vertebrate
Q8RJQ0;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
Q9Z3F4;Xanthomonas euvesicatoria;TypeIII_controlToxin;Non-Vertebrate
R4TJS0;Xanthomonas oryzae;TypeIII_controlToxin;Non-Vertebrate
D4HZV6;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
B2VH84;Erwinia tasmaniensis;TypeIII_controlToxin;Non-Vertebrate
D4HVP7;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
D4HVQ0;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
D4HWC7;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
D4HWL8;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
D4I0Q7;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
Q01099;Erwinia amylovora;TypeIII_controlToxin;Non-Vertebrate
Q6RK53;Pectobacterium atrosepticum;TypeIII_controlToxin;Non-Vertebrate
AAS20351.1;Pectobacterium atrosepticum;TypeIII_controlToxin;Non-Vertebrate
NP_066636.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
NP_066727.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
NP_066749.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
NP_066752.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
NP_066581.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
NP_059814.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_059817.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_059819.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_059820.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_059824.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_396503.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_396506.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_396510.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_396511.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
NP_396676.1;Agrobacterium tumefaciens;TypeIII_controlToxin;Non-Vertebrate
YP_001961003.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
YP_001961089.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
YP_001961113.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
YP_001961116.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
YP_001961118.1;Agrobacterium rhizogenes;TypeIII_controlToxin;Non-Vertebrate
A9CFH2;Agrobacterium fabrum;TypeIII_controlToxin;Non-Vertebrate
A9CGH1;Agrobacterium fabrum;TypeIII_controlToxin;Non-Vertebrate
E0SAK8;Dickeya dadantii;TypeIII_controlToxin;Non-Vertebrate
Q1MFR3;Rhizobium leguminosarum;TypeIII_controlToxin;Non-Vertebrate
O33680;Rhizobium meliloti;TypeIII_controlToxin;Non-Vertebrate
P33208;Rhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
Q50EL2;Rhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
Q5Y4S2;Rhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
Q7BMF3;Rhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P06668;Rhizobium radiobacter;TypeIII_controlToxin;Non-Vertebrate
P0A3W8;Rhizobium radiobacter;TypeIII_controlToxin;Non-Vertebrate
Q44445;Rhizobium radiobacter;TypeIII_controlToxin;Non-Vertebrate
Q79AT3;Rhizobium radiobacter;TypeIII_controlToxin;Non-Vertebrate
Q9R6B6;Rhizobium radiobacter;TypeIII_controlToxin;Non-Vertebrate
A1TI59;Acidovorax citrulli;TypeIII_controlToxin;Non-Vertebrate
A1TMA4;Acidovorax citrulli;TypeIII_controlToxin;Non-Vertebrate
A1TPV9;Acidovorax citrulli;TypeIII_controlToxin;Non-Vertebrate
A1TWF0;Acidovorax citrulli;TypeIII_controlToxin;Non-Vertebrate
F0QCN5;Acidovorax avenae;TypeIII_controlToxin;Non-Vertebrate
Q2AC60;Acidovorax avenae;TypeIII_controlToxin;Non-Vertebrate
A2I8A1;Pantoea agglomerans;TypeIII_controlToxin;Non-Vertebrate
A2I8A2;Pantoea agglomerans;TypeIII_controlToxin;Non-Vertebrate
O85666;Pantoea agglomerans;TypeIII_controlToxin;Non-Vertebrate
Q9FCY7;Pantoea stewartii;TypeIII_controlToxin;Non-Vertebrate
AAG01467.2;Pantoea stewartii;TypeIII_controlToxin;Non-Vertebrate
C0SPP7;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPP9;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPQ0;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPQ1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPQ2;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPQ3;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C0SPQ6;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
C4PL71;Bradyrhizobium elkanii;TypeIII_controlToxin;Non-Vertebrate
C4PL72;Bradyrhizobium elkanii;TypeIII_controlToxin;Non-Vertebrate
C4PL85;Bradyrhizobium elkanii;TypeIII_controlToxin;Non-Vertebrate
D8P480;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
D8P4R3;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
D8P729;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q52497;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q68A49;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q6R8C3;Sodalis glossinidius;TypeIII_controlToxin;Non-Vertebrate
Q6R8C5;Sodalis glossinidius;TypeIII_controlToxin;Non-Vertebrate
Q6TLM0;Aeromonas hydrophila;TypeIII_controlToxin;Non-Vertebrate
Q700V9;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q700W1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q79UN8;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q8XQE6;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q8XTK9;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q8XYE3;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q8Y125;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q9RBS0;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q9RBS1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
Q9RBS2;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47294.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47295.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47296.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47297.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47298.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
BAH47300.1;Ralstonia solanacearum;TypeIII_controlToxin;Non-Vertebrate
P55724;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55456;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55555;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55704;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55711;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55713;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
P55730;Sinorhizobium fredii;TypeIII_controlToxin;Non-Vertebrate
Q89BB8;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89N83;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89TL5;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89TP9;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89TT5;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89TW7;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q89TX4;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q989M4;Mesorhizobium japonicum;TypeIII_controlToxin;Non-Vertebrate
Q989P6;Mesorhizobium japonicum;TypeIII_controlToxin;Non-Vertebrate
Q989P8;Mesorhizobium japonicum;TypeIII_controlToxin;Non-Vertebrate
Q989R4;Mesorhizobium japonicum;TypeIII_controlToxin;Non-Vertebrate
Q9AMW4;Bradyrhizobium diazoefficiens;TypeIII_controlToxin;Non-Vertebrate
Q9AN16;Bradyrhizobium japonicum;TypeIII_controlToxin;Non-Vertebrate
D2TZV2;Arsenophonus nasoniae;TypeIII_controlToxin;Non-Vertebrate
YP_001972768.1;Stenotrophomonas maltophilia;TypeIII_controlToxin;Non-Vertebrate
AAW70606.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70624.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70636.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70649.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70656.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70662.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70668.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70705.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70866.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW70876.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
AAW71035.1;Wolbachia endosymbiont;TypeIII_controlToxin;Non-Vertebrate
Q2NVH6;Sodalis glossinidius;TypeIII_controlToxin;Non-Vertebrate
Q47278;Dickeya chrysanthemi;TypeIII_controlToxin;Non-Vertebrate
AAS66851.1;Sodalis glossinidius;TypeIII_controlToxin;Non-Vertebrate
AAS66853.1;Sodalis glossinidius;TypeIII_controlToxin;Non-Vertebrate
D3VML5;Bacillus velezensis;TypeIII_controlToxin;Non-Vertebrate
B4XHJ7;Lysinibacillus sphaericus;TypeIII_controlToxin;Non-Vertebrate
I0KFP2;Fibrella aestuarina;TypeIII_controlToxin;Non-Vertebrate
N2A3B2;Eubacterium plexicaudatum;TypeIII_controlToxin;Non-Vertebrate
E0SAL0;Dickeya dadantii;TypeIII_controlToxin;Non-Vertebrate
E0SIS4;Dickeya dadantii;TypeIII_controlToxin;Non-Vertebrate
Q9KMN9;Vibrio cholerae;Type_III;Non-Vertebrate
Q9KS43;Vibrio cholerae;Type_III;Non-Vertebrate
Q9KS45;Vibrio cholerae;Type_III;Non-Vertebrate
Q9KMN9;Vibrio cholerae;Type_III;Vertebrate
Q9KS43;Vibrio cholerae;Type_III;Vertebrate
Q9KS45;Vibrio cholerae;Type_III;Vertebrate
B5R7C3;Salmonella gallinarum;Type_III;Vertebrate
A0KHZ7;Aeromonas hydrophila;Type_III;Vertebrate
K7WKL8;Aeromonas hydrophila;Type_III;Vertebrate
Q7NUS9;Chromobacterium violaceum;Type_III;Vertebrate
Q7NVS7;Chromobacterium violaceum;Type_III;Vertebrate
P17452;Pasteurella multocida;Type_III;Vertebrate
Q6EAT3;Salmonella enterica;Type_III;Vertebrate
P16154;Clostridioides difficile;Type_III;Vertebrate
P18177;Clostridioides difficile;Type_III;Vertebrate
P0DUB4;Paeniclostridium sordellii;Type_III;Vertebrate
M9ZTT7;Paeniclostridium sordellii;Type_III;Vertebrate
B5AGT2;Clostridium perfringens;Type_III;Vertebrate
O05442;Mycobacterium tuberculosis;Type_III;Vertebrate
P75409;Mycoplasma pneumoniae;Type_III;Vertebrate
YP_094184.1;Legionella pneumophila;Type_III;Vertebrate
YP_094225.1;Legionella pneumophila;Type_III;Vertebrate
YP_096173.1;Legionella pneumophila;Type_III;Vertebrate
YP_094300.1;Legionella pneumophila;Type_III;Vertebrate
YP_095994.1;Legionella pneumophila;Type_III;Vertebrate
YP_096157.1;Legionella pneumophila;Type_III;Vertebrate
YP_095992.1;Legionella pneumophila;Type_III;Vertebrate
YP_096150.1;Legionella pneumophila;Type_III;Vertebrate
YP_096234.1;Legionella pneumophila;Type_III;Vertebrate
YP_004159284.1;Bartonella clarridgeiae;Type_III;Vertebrate
YP_096160.1;Legionella pneumophila;Type_III;Vertebrate
YP_067323.1;Rickettsia typhi;Type_III;Vertebrate
YP_095003.1;Legionella pneumophila;Type_III;Vertebrate
YP_096161.1;Legionella pneumophila;Type_III;Vertebrate
YP_095728.1;Legionella pneumophila;Type_III;Vertebrate
YP_125189.1;Legionella pneumophila;Type_III;Vertebrate
YP_124394.1;Legionella pneumophila;Type_III;Vertebrate
YP_095745.1;Legionella pneumophila;Type_III;Vertebrate
YP_094420.1;Legionella pneumophila;Type_III;Vertebrate
YP_002304025.1;Coxiella burnetii;Type_III;Vertebrate
YP_002306228.1;Coxiella burnetii;Type_III;Vertebrate
YP_094076.1;Legionella pneumophila;Type_III;Vertebrate
YP_122373.1;Legionella pneumophila;Type_III;Vertebrate
YP_094224.1;Legionella pneumophila;Type_III;Vertebrate
YP_122575.1;Legionella pneumophila;Type_III;Vertebrate
YP_125602.1;Legionella pneumophila;Type_III;Vertebrate
YP_001249594.1;Legionella pneumophila;Type_III;Vertebrate
YP_003617437.1;Legionella pneumophila;Type_III;Vertebrate
YP_094527.1;Legionella pneumophila;Type_III;Vertebrate
YP_122885.1;Legionella pneumophila;Type_III;Vertebrate
YP_125889.1;Legionella pneumophila;Type_III;Vertebrate
YP_001252108.1;Legionella pneumophila;Type_III;Vertebrate
YP_003617733.1;Legionella pneumophila;Type_III;Vertebrate
YP_094449.1;Legionella pneumophila;Type_III;Vertebrate
YP_122809.1;Legionella pneumophila;Type_III;Vertebrate
YP_095607.1;Legionella pneumophila;Type_III;Vertebrate
YP_095688.1;Legionella pneumophila;Type_III;Vertebrate
YP_123950.1;Legionella pneumophila;Type_III;Vertebrate
YP_095778.1;Legionella pneumophila;Type_III;Vertebrate
YP_124034.1;Legionella pneumophila;Type_III;Vertebrate
YP_095924.1;Legionella pneumophila;Type_III;Vertebrate
YP_124199.1;Legionella pneumophila;Type_III;Vertebrate
YP_124559.1;Legionella pneumophila;Type_III;Vertebrate
YP_127554.1;Legionella pneumophila;Type_III;Vertebrate
YP_001251044.1;Legionella pneumophila;Type_III;Vertebrate
YP_003619588.1;Legionella pneumophila;Type_III;Vertebrate
YP_096309.1;Legionella pneumophila;Type_III;Vertebrate
YP_127577.1;Legionella pneumophila;Type_III;Vertebrate
YP_124581.1;Legionella pneumophila;Type_III;Vertebrate
YP_001251068.1;Legionella pneumophila;Type_III;Vertebrate
YP_096331.1;Legionella pneumophila;Type_III;Vertebrate
YP_003619612.1;Legionella pneumophila;Type_III;Vertebrate
YP_127608.1;Legionella pneumophila;Type_III;Vertebrate
YP_124611.1;Legionella pneumophila;Type_III;Vertebrate
YP_096360.1;Legionella pneumophila;Type_III;Vertebrate
YP_003619644.1;Legionella pneumophila;Type_III;Vertebrate
YP_001251099.1;Legionella pneumophila;Type_III;Vertebrate
YP_096368.1;Legionella pneumophila;Type_III;Vertebrate
YP_124619.1;Legionella pneumophila;Type_III;Vertebrate
YP_124946.1;Legionella pneumophila;Type_III;Vertebrate
YP_096593.1;Legionella pneumophila;Type_III;Vertebrate
YP_003619931.1;Legionella pneumophila;Type_III;Vertebrate
YP_001249887.1;Legionella pneumophila;Type_III;Vertebrate
YP_127840.1;Legionella pneumophila;Type_III;Vertebrate
YP_127843.1;Legionella pneumophila;Type_III;Vertebrate
YP_124949.1;Legionella pneumophila;Type_III;Vertebrate
YP_003619936.1;Legionella pneumophila;Type_III;Vertebrate
YP_001249882.1;Legionella pneumophila;Type_III;Vertebrate
YP_096810.1;Legionella pneumophila;Type_III;Vertebrate
YP_125171.1;Legionella pneumophila;Type_III;Vertebrate
YP_128058.1;Legionella pneumophila;Type_III;Vertebrate
YP_001252334.1;Legionella pneumophila;Type_III;Vertebrate
YP_003620158.1;Legionella pneumophila;Type_III;Vertebrate
YP_125191.1;Legionella pneumophila;Type_III;Vertebrate
YP_096827.1;Legionella pneumophila;Type_III;Vertebrate
YP_125249.1;Legionella pneumophila;Type_III;Vertebrate
YP_096882.1;Legionella pneumophila;Type_III;Vertebrate
YP_096929.1;Legionella pneumophila;Type_III;Vertebrate
YP_125306.1;Legionella pneumophila;Type_III;Vertebrate
YP_125349.1;Legionella pneumophila;Type_III;Vertebrate
YP_096967.1;Legionella pneumophila;Type_III;Vertebrate
NP_819032.2;Coxiella burnetii;Type_III;Vertebrate
YP_001199348.1;Streptococcus suis;Type_III;Vertebrate
ABQ56040.1;Legionella pneumophila;Type_III;Vertebrate
